user_id;movie_id;rating
1000;media-59;4.0
1000;media-167;4.0
1000;media-354;4.0
1000;media-346;4.0
1000;media-366;4.0
1000;media-355;5.0
1000;media-350;4.0
1000;media-418;5.0
1000;media-218;3.0
1000;media-486;3.5
1001;media-365;4.0
1001;media-59;5.0
1001;media-167;5.0
1001;media-293;4.0
1001;media-33;4.0
1001;media-174;3.0
1001;media-218;5.0
1002;media-448;4.0
1002;media-82;5.0
1002;media-59;5.0
1002;media-241;3.0
1002;media-167;5.0
1002;media-197;4.0
1002;media-81;4.0
1002;media-46;4.0
1003;media-188;3.0
1004;media-412;3.0
1004;media-245;4.0
1005;media-448;5.0
1005;media-412;5.0
1005;media-166;5.0
1005;media-401;1.5
1006;media-365;4.0
1006;media-296;5.0
1006;media-167;3.0
1006;media-197;5.0
1006;media-366;4.0
1006;media-323;3.0
1006;media-355;4.0
1007;media-448;4.0
1007;media-412;5.0
1007;media-159;4.0
1007;media-317;1.0
1007;media-375;4.0
1007;media-210;3.0
1008;media-366;5.0
1008;media-313;4.5
1008;media-509;3.0
1009;media-448;4.0
1009;media-296;4.0
1009;media-197;4.0
1009;media-332;1.0
1010;media-448;4.5
1010;media-503;3.0
1010;media-412;4.0
1010;media-82;1.5
1010;media-59;5.0
1010;media-241;5.0
1010;media-197;4.0
1010;media-366;4.5
1010;media-323;4.5
1010;media-355;5.0
1010;media-350;5.0
1010;media-418;5.0
1010;media-362;4.5
1010;media-351;5.0
1010;media-483;4.0
1011;media-448;4.0
1011;media-412;3.0
1011;media-174;4.0
1012;media-448;4.0
1012;media-180;5.0
1012;media-290;4.5
1013;media-448;4.5
1013;media-197;2.0
1013;media-346;3.0
1013;media-6;4.5
1013;media-362;4.5
1013;media-13;5.0
1013;media-363;3.0
1014;media-150;4.0
1014;media-180;3.0
1015;media-448;3.0
1015;media-70;4.0
1015;media-336;2.5
1016;media-412;3.0
1017;media-296;5.0
1017;media-355;3.0
1017;media-519;3.0
1017;media-328;4.0
1017;media-498;4.0
1018;media-448;5.0
1018;media-412;3.0
1018;media-261;3.5
1020;media-296;4.0
1020;media-357;3.0
1020;media-82;5.0
1020;media-59;5.0
1020;media-167;5.0
1020;media-81;4.0
1020;media-206;4.0
1020;media-317;5.0
1021;media-448;3.0
1021;media-412;5.0
1021;media-366;4.0
1021;media-480;2.0
1021;media-323;5.0
1021;media-55;0.5
1021;media-331;3.0
1022;media-448;4.0
1022;media-197;4.0
1022;media-339;4.0
1022;media-138;1.0
1022;media-303;5.0
1022;media-481;3.0
1023;media-448;4.0
1023;media-412;4.0
1023;media-82;5.0
1023;media-59;5.0
1023;media-197;4.0
1023;media-81;5.0
1023;media-354;4.0
1023;media-339;4.0
1023;media-366;5.0
1023;media-480;5.0
1023;media-352;4.0
1023;media-323;4.0
1023;media-350;2.0
1023;media-67;5.0
1024;media-59;2.0
1024;media-197;4.0
1024;media-346;4.0
1024;media-366;4.0
1024;media-355;3.5
1025;media-252;4.0
1025;media-455;3.0
1026;media-197;5.0
1026;media-366;5.0
1026;media-257;4.0
1026;media-286;5.0
1027;media-14;4.5
